Designator,Mid X,Mid Y,Rotation,Layer
C10,201.375,-136.75,90,top
C11,199.3,-136.725,90,top
C12,190.4,-145.575,180,top
C13,190.375,-147.6,180,top
C14,192.2125,-149.45,180,top
C15,227.2,-140.925,90,top
C16,197.85,-152.675,270,top
C17,233.8,-151.5,270,top
C18,231.375,-143.15,90,top
C19,215.525,-166.525,180,top
C20,228.7,-151.8,270,top
C21,227,-151.8,270,top
C22,190.15,-158.5,180,top
C23,184.2,-122.2,180,top
C24,198.25,-122.225,0,top
C25,190.125,-156.925,180,top
C26,192.4,-151.325,180,top
C27,266,-152.4725,180,top
C28,259.025,-152.4975,180,top
C29,215.1,-136.9625,90,top
C3,225.65,-156.125,90,top
C30,212.575,-135.2875,90,top
C4,218.85,-166.5,270,top
C5,213.05,-164.875,0,top
C6,229.275,-140.9,90,top
C7,206.1,-164.2,0,top
C8,194.1,-161.875,270,top
C9,220.825,-166.45,270,top
J1,151.175,-153.195,0,bottom
J4,181.175,-153.195,0,bottom
J5,263.125,-148.9725,270,top
J7,147.95,122.95,0,top
J6,249.475,-131.305,0,top
R10,261.8,-139.85,270,top
R11,261.825,-144.3,270,top
R13,163.25,-128.7,90,top
R14,178.9375,-125.075,180,top
R15,178.9125,-122.8,180,top
R5,197.575,-162.4,270,top
R6,204.425,-135.9,90,top
R7,207.15,-135.75,90,top
R8,264.5,-139.9,270,top
R9,264.45,-144.325,270,top
U2,211.375,-151.275,0,top
X3,191.1,-122.25,0,top
X4,192.173,-154.06075,180,top
